image_path,label
routeeventlog/b39f42d4-b0f0-4528-b593-e31a8c5da70b/b3f39d91-d506-4da4-aacf-90b877f9c216/638019356842911110.jpg,-1
routeeventlog/b39f42d4-b0f0-4528-b593-e31a8c5da70b/f0432f3b-5a10-4e1f-8564-846096aa046f/638181131112913516.jpg,-1
routeeventlog/923f4a90-a6b6-4e60-b8e8-08a3c76ae012/94bc1707-a538-4d85-91ef-3545dae2fa21/638790179699057339.jpg,1
routeeventlog/923f4a90-a6b6-4e60-b8e8-08a3c76ae012/ea071b23-d94a-4b54-8d68-6bd12f217c70/638500714012900218.jpg,1
routeeventlog/b39f42d4-b0f0-4528-b593-e31a8c5da70b/d6a35de4-9d2b-4664-9fee-91b6bccf3ef1/638967321249307935.jpg,0
routeeventlog/951e9360-1ffd-3ca2-4de5-b3bcee1b2c7a/d0acb9d3-e10f-4851-a450-d5c91bc264cb/638882601600336552.jpg,0
routeeventlog/8fbde30a-5298-4449-b3c4-c8d0c850b93b/d0b2ef96-b01d-4db7-9b7a-96422e444dde/638844388450065221.jpg,-1
routeeventlog/923f4a90-a6b6-4e60-b8e8-08a3c76ae012/a539d77a-58fc-4881-8aa1-0c6deb625df7/638683055736449640.jpg,-1
routeeventlog/923f4a90-a6b6-4e60-b8e8-08a3c76ae012/351dacce-595f-44e2-9b36-c1edcec4a6e4/638041870283770049.jpg,0
routeeventlog/923f4a90-a6b6-4e60-b8e8-08a3c76ae012/a609d69d-c7cc-41b8-9482-a05c0c218c08/637399977857286326.jpg,-1
routeeventlog/0a4cde88-b495-4563-ac21-92557a3f236f/dea552d9-9be8-419c-9892-601a0b503c6a/638506763102523263.jpg,-1
routeeventlog/b39f42d4-b0f0-4528-b593-e31a8c5da70b/23bd0ee6-86af-459a-8004-896325c9dc6f/637762787324458462.jpg,-1
routeeventlog/0a4cde88-b495-4563-ac21-92557a3f236f/0e351aeb-f7b2-45c5-a44d-dc7f025da734/638210342544654061.jpg,-1
routeeventlog/b39f42d4-b0f0-4528-b593-e31a8c5da70b/044c85fb-2a89-41c3-a23b-d8e36da2ec55/638388525609167017.jpg,-1
routeeventlog/923f4a90-a6b6-4e60-b8e8-08a3c76ae012/a40bc1e6-c5c3-4f1c-92f3-6bcd25137226/638476434984264208.jpg,1
